Title,Description,City,Museum URL
Лувр,лувр  это одна из самых знаменитых достопримечательностей парижа лувр известен туристам в первую очередь не как великолепный,Париж,https://wikiway.com/france/parizh/luvr/
Третьяковская галерея,третьяковская галерея является самым известным художественным музеем в москве она же  главная сокровищница национального искусства,Москва,https://wikiway.com/russia/moskva/tretyakovskaya-galereya/
Пушкинский музей,пушкинский музей  так коротко называют государственный музей изобразительных искусств им а с пушкина расположившийся в самом центре,Москва,https://wikiway.com/russia/moskva/pushkinskiy-muzey/
Кунсткамера,кунсткамера  музей основанный по указу петра i открылся в 1714 г и стал первым в россии он был назван немецким словом кунсткамера,Санкт-Петербург,https://wikiway.com/russia/sankt-peterburg/kunstkamera/
Эрмитаж в Санкт-Петербурге,эрмитаж в санктпетербурге  российский музейный комплекс мирового значения первые здания которого заложены при императрице елизавете,Санкт-Петербург,https://wikiway.com/russia/sankt-peterburg/ermitazh-v-sankt-peterburge/
Музей Великой Отечественной войны в Минске,музей великой отечественной войны в минске расположенный рядом с парком победы является уникальным и самым крупным в республике беларусь,Минск,https://wikiway.com/belarus/minsk/muzey-velikoy-otechestvennoy-voyny-v-minske/
Метрополитен-музей,метрополитенмузей ежегодно принимает более пяти миллионов посетителей он располагает одной из самых богатых коллекций в мире искусства,Нью-Йорк,https://wikiway.com/usa/new-york/metropoliten-muzey/
Музей Прадо,здание прадо было построено хуаном де виллануэва для карла iii как музей естественной истории впоследствии брат наполеона,Мадрид,https://wikiway.com/spain/madrid/muzey-prado/
Айя-София,айясофия  одна из самых посещаемых достопримечательностей стамбула она притягивает туристов своей уникальной архитектурой великолепными,Стамбул,https://wikiway.com/turkey/stambul/ayya-sofiya/
Британский музей,британский музей  один из величайших музеев мира дело не только в количестве экспонатов но и в общем качестве размещенных здесь коллекций,Лондон,https://wikiway.com/velikobritaniya/london/britanskiy-muzey/
Оружейная палата,оружейная палата  место в кремле для хранения сокровищ,Москва,https://wikiway.com/russia/moskva/oruzheynaya-palata/
Фабрика «Красный Октябрь»,фабрика красный октябрь  патриарх кондитерской отрасли россии она прославилась в дореволюционное время как товарищество эйнемъ не,Москва,https://wikiway.com/russia/moskva/fabrika-krasnyy-oktyabr/
Хохловка,хохловка  архитектурноэтнографический музей в пермском крае в 43 км от перми на окраине села хохловка уральский музей был основан в,Россия,https://wikiway.com/russia/khokhlovka/
Планетарий в Москве,московский планетарий был открыт для публики в 1929 году это самый старый планетарий в россии после длительной реконструкции с 1994 по,Москва,https://wikiway.com/russia/moskva/planetariy-v-moskve/
Бункер-42,конфронтация между ссср и сша никогда не переходила в открытое наступление но холодная война,Москва,https://wikiway.com/russia/moskva/bunker-42/
Измайловский Кремль,измайловский кремль представляет собой огромный культурноразвлекательный комплекс расположенный на востоке москвы он был спроектирован,Москва,https://wikiway.com/russia/moskva/izmaylovskiy-kreml/
Музей техники Вадима Задорожного,музей техники вадима задорожного  крупнейший в россии и один из самых больших в европе частных музеев экспонатами которого являются,Россия,https://wikiway.com/russia/muzey-tekhniki-vadima-zadorozhnogo/
Парк искусств Музеон,парк искусств музеон  самое большое в россии собрание скульптур под открытым небом расположенное в центре столицы идея создания,Москва,https://wikiway.com/russia/moskva/park-iskusstv-muzeon/
Центр дизайна ARTPLAY,центр дизайна artplay  первое креативное пространство москвы собравшее в своих зданиях более 65 000 м2 выставочных площадей это,Москва,https://wikiway.com/russia/moskva/artplay/
Центр современного искусства Винзавод,центр современного искусства винзавод  первый и самый большой центр современного искусства в россии  открылся в 2007 году в цехах бывшего,Москва,https://wikiway.com/russia/moskva/tsentr-iskusstva-vinzavod/
Горки Ленинские,музейзаповедник горки ленинские  одно из немногих мест где можно увидеть личные вещи и рукописи владимира ульяноваленина идейного,Россия,https://wikiway.com/russia/gorki-leninskie/
Куликово поле,куликово поле  исторический район в тульской области где произошло легендарное сражение между войсками князя московского дмитрия донского,Россия,https://wikiway.com/russia/kulikovo-pole/
Алмазный фонд,алмазный фонд  постоянная выставка где экспонируются уникальные коллекции принадлежащие государственному хранилищу ценностей,Москва,https://wikiway.com/russia/moskva/almaznyy-fond/
Кижи,кижи  один из 1369 островов в северовосточной части онежского озера являющийся визитной карточкой карелии расположенный в 68 км от,Россия,https://wikiway.com/russia/kizhi/
Палеонтологический музей,палеонтологический музей им ю а орлова российской академии наук расположенный в москве представляет собой одно из крупнейших на,Москва,https://wikiway.com/russia/moskva/paleontologicheskiy-muzey/
Бородинская панорама,музейпанорама бородинская битва находится в москве на кутузовском проспекте открытый в 1962 году на территории бывшей деревни фили,Москва,https://wikiway.com/russia/moskva/borodinskaya-panorama/
Политехнический музей,московский политехнический музей  это не просто место хранения выдающихся технических моделей и открытий это цветущий оазис знаний,Москва,https://wikiway.com/russia/moskva/politekhnicheskiy-muzey/
Дарвиновский музей,дарвиновский музей занимает особое место среди московских музеев он представляет вниманию посетителей одну из самых крупных в европе,Москва,https://wikiway.com/russia/moskva/darvinovskiy-muzey/
ЦДХ,центральный дом художника  одна из самых крупных выставочных площадок москвы постоянно здесь работают десятки галерей и магазинов обход,Москва,https://wikiway.com/russia/moskva/tsdkh/
Исторический музей в Москве,исторический музей на красной площади москвы является самым крупным национальным музеем россии,Москва,https://wikiway.com/russia/moskva/istoricheskiy-muzey-v-moskve/
Галерея Уффици,галерея уфицци во флоренции  один из самых посещаемых художественных музеев мира здесь собраны уникальные произведения искусства картины,Флоренция,https://wikiway.com/italia/florentsiya/galereya-uffitsi/
Ботик Петра I,ботик петра i  музейусадьба в селе веськово на горе гремяч близ переславлязалесского где выставлен легендарный ботик фортуна ботик,Россия,https://wikiway.com/russia/botik-petra-i/
Испанская деревня в Барселоне,испанская деревня в барселоне  архитектурный музей в котором установлено 117 копий исторических памятников часть из них выполнена в,Барселона,https://wikiway.com/spain/barselona/ispanskaya-derevnya/
Центр Помпиду,центр помпиду оплот современного европейского искусства национальный центр искусства и культуры жоржа помпиду входит в топ3,Париж,https://wikiway.com/france/parizh/tsentr-pompidu/
Царскосельский лицей,императорский царскосельский лицей был учрежден в 1810 г для дворянских детей как элитарное закрытое учебное заведение,Пушкин,https://wikiway.com/russia/pushkin/tsarskoselskiy-litsey/
Биологический музей Тимирязева,биологический музей тимирязева  популярный естественнонаучный музей в котором любят бывать не только москвичи но и гости российской,Москва,https://wikiway.com/russia/moskva/biologicheskiy-muzey-timiryazeva/
