Title,Description,City,Museum URL
Лувр,Лувр – это одна из самых знаменитых достопримечательностей Парижа. Лувр известен туристам в первую очередь не как великолепный...,Париж,https://wikiway.com/france/parizh/luvr/
Третьяковская галерея,"Третьяковская галерея является самым известным художественным музеем в Москве, она же – главная сокровищница национального искусства...",Москва,https://wikiway.com/russia/moskva/tretyakovskaya-galereya/
Пушкинский музей,"Пушкинский музей – так коротко называют Государственный музей изобразительных искусств им. А. С. Пушкина, расположившийся в самом центре...",Москва,https://wikiway.com/russia/moskva/pushkinskiy-muzey/
Кунсткамера,"Кунсткамера — музей, основанный по указу Петра I, открылся в 1714 г. и стал первым в России. Он был назван немецким словом «Кунсткамера»,...",Санкт-Петербург,https://wikiway.com/russia/sankt-peterburg/kunstkamera/
Эрмитаж в Санкт-Петербурге,"Эрмитаж в Санкт-Петербурге – российский музейный комплекс мирового значения, первые здания которого заложены при императрице Елизавете....",Санкт-Петербург,https://wikiway.com/russia/sankt-peterburg/ermitazh-v-sankt-peterburge/
Музей Великой Отечественной войны в Минске,"Музей Великой Отечественной войны в Минске, расположенный рядом с парком Победы, является уникальным и самым крупным в Республике Беларусь...",Минск,https://wikiway.com/belarus/minsk/muzey-velikoy-otechestvennoy-voyny-v-minske/
Метрополитен-музей,"Метрополитен-музей ежегодно принимает более пяти миллионов посетителей. Он располагает одной из самых богатых коллекций в мире искусства,...",Нью-Йорк,https://wikiway.com/usa/new-york/metropoliten-muzey/
Музей Прадо,Здание Прадо было построено Хуаном де Виллануэва для Карла III как музей естественной истории. Впоследствии брат Наполеона...,Мадрид,https://wikiway.com/spain/madrid/muzey-prado/
Айя-София,"Айя-София – одна из самых посещаемых достопримечательностей Стамбула. Она притягивает туристов своей уникальной архитектурой, великолепными...",Стамбул,https://wikiway.com/turkey/stambul/ayya-sofiya/
Британский музей,"Британский музей — один из величайших музеев мира. Дело не только в количестве экспонатов, но и в общем качестве размещенных здесь коллекций",Лондон,https://wikiway.com/velikobritaniya/london/britanskiy-muzey/
Оружейная палата,Оружейная палата — место в Кремле для хранения сокровищ...,Москва,https://wikiway.com/russia/moskva/oruzheynaya-palata/
Фабрика «Красный Октябрь»,"Фабрика «Красный Октябрь» – патриарх кондитерской отрасли России. Она прославилась в дореволюционное время как «Товарищество Эйнемъ», не...",Москва,https://wikiway.com/russia/moskva/fabrika-krasnyy-oktyabr/
Хохловка,"Хохловка — архитектурно-этнографический музей в Пермском крае, в 43 км от Перми, на окраине села Хохловка. Уральский музей был основан в...",Россия,https://wikiway.com/russia/khokhlovka/
Планетарий в Москве,Московский планетарий был открыт для публики в 1929 году. Это самый старый планетарий в России. После длительной реконструкции с 1994 по...,Москва,https://wikiway.com/russia/moskva/planetariy-v-moskve/
Бункер-42,Конфронтация между СССР и США никогда не переходила в открытое наступление. Но Холодная война...,Москва,https://wikiway.com/russia/moskva/bunker-42/
Измайловский Кремль,"Измайловский Кремль представляет собой огромный культурно-развлекательный комплекс, расположенный на востоке Москвы. Он был спроектирован...",Москва,https://wikiway.com/russia/moskva/izmaylovskiy-kreml/
Музей техники Вадима Задорожного,"Музей техники Вадима Задорожного – крупнейший в России и один из самых больших в Европе частных музеев, экспонатами которого являются...",Россия,https://wikiway.com/russia/muzey-tekhniki-vadima-zadorozhnogo/
Парк искусств Музеон,"Парк искусств Музеон – самое большое в России собрание скульптур под открытым небом, расположенное в центре столицы. Идея создания...",Москва,https://wikiway.com/russia/moskva/park-iskusstv-muzeon/
Центр дизайна ARTPLAY,"Центр дизайна Artplay – первое креативное пространство Москвы, собравшее в своих зданиях более 65 000 м2 выставочных площадей. Это...",Москва,https://wikiway.com/russia/moskva/artplay/
Центр современного искусства Винзавод,Центр современного искусства Винзавод – первый и самый большой центр современного искусства в России – открылся в 2007 году в цехах бывшего...,Москва,https://wikiway.com/russia/moskva/tsentr-iskusstva-vinzavod/
Горки Ленинские,"Музей-заповедник «Горки Ленинские» – одно из немногих мест, где можно увидеть личные вещи и рукописи Владимира Ульянова-Ленина, идейного...",Россия,https://wikiway.com/russia/gorki-leninskie/
Куликово поле,"Куликово поле – исторический район в Тульской области, где произошло легендарное сражение между войсками князя московского Дмитрия Донского...",Россия,https://wikiway.com/russia/kulikovo-pole/
Алмазный фонд,"Алмазный фонд – постоянная выставка, где экспонируются уникальные коллекции, принадлежащие Государственному хранилищу ценностей...",Москва,https://wikiway.com/russia/moskva/almaznyy-fond/
Кижи,"Кижи – один из 1369 островов в северо-восточной части Онежского озера, являющийся визитной карточкой Карелии. Расположенный в 68 км от...",Россия,https://wikiway.com/russia/kizhi/
Палеонтологический музей,"Палеонтологический музей им. Ю. А. Орлова Российской академии наук, расположенный в Москве, представляет собой одно из крупнейших на...",Москва,https://wikiway.com/russia/moskva/paleontologicheskiy-muzey/
Бородинская панорама,"Музей-панорама «Бородинская битва» находится в Москве, на Кутузовском проспекте. Открытый в 1962 году на территории бывшей деревни Фили...",Москва,https://wikiway.com/russia/moskva/borodinskaya-panorama/
Политехнический музей,"Московский Политехнический музей – это не просто место хранения выдающихся технических моделей и открытий, это цветущий оазис знаний,...",Москва,https://wikiway.com/russia/moskva/politekhnicheskiy-muzey/
Дарвиновский музей,Дарвиновский музей занимает особое место среди московских музеев. Он представляет вниманию посетителей одну из самых крупных в Европе...,Москва,https://wikiway.com/russia/moskva/darvinovskiy-muzey/
ЦДХ,"Центральный дом художника — одна из самых крупных выставочных площадок Москвы. Постоянно здесь работают десятки галерей и магазинов, обход...",Москва,https://wikiway.com/russia/moskva/tsdkh/
Исторический музей в Москве,Исторический музей на Красной площади Москвы является самым крупным национальным музеем России...,Москва,https://wikiway.com/russia/moskva/istoricheskiy-muzey-v-moskve/
Галерея Уффици,Галерея Уфицци во Флоренции – один из самых посещаемых художественных музеев мира. Здесь собраны уникальные произведения искусства: картины...,Флоренция,https://wikiway.com/italia/florentsiya/galereya-uffitsi/
Ботик Петра I,"Ботик Петра I — музей-усадьба в селе Веськово, на горе Гремяч близ Переславля-Залесского, где выставлен легендарный ботик «Фортуна». Ботик...",Россия,https://wikiway.com/russia/botik-petra-i/
Испанская деревня в Барселоне,"Испанская деревня в Барселоне – архитектурный музей, в котором установлено 117 копий исторических памятников. Часть из них выполнена в...",Барселона,https://wikiway.com/spain/barselona/ispanskaya-derevnya/
Центр Помпиду,Центр Помпиду: оплот современного европейского искусства. Национальный центр искусства и культуры Жоржа Помпиду входит в топ-3...,Париж,https://wikiway.com/france/parizh/tsentr-pompidu/
Царскосельский лицей,Императорский Царскосельский лицей был учрежден в 1810 г. для дворянских детей как элитарное закрытое учебное заведение...,Пушкин,https://wikiway.com/russia/pushkin/tsarskoselskiy-litsey/
Биологический музей Тимирязева,"Биологический музей Тимирязева — популярный естественнонаучный музей, в котором любят бывать не только москвичи, но и гости российской...",Москва,https://wikiway.com/russia/moskva/biologicheskiy-muzey-timiryazeva/
